Vertex,Name,Followed,Followers,Tweets,Favorites,Description,Location,Web,Joined Twitter Date (UTC),User of Interest?,Custom Menu Item Text,Custom Menu Item Action,Profile Banner Url,Default Profile,Default Profile Image,Geo Enabled,Language,Listed Count,Profile Background Image Url,Verified
bexxmodd,"Beka ""Bexx"" Modebade",5947,8496,848213,141717,"My opinions are a byproduct of biases introduced by a homogenous society I was raised in and my constant venture to rebel
 
 @Penn CS Masters Candidate","Maryland, USA",https://t.co/5qHf4jSZ8t,12/9/2015 1:17,,Open Twitter Page for This Person,https://twitter.com/bexxmodd,https://pbs.twimg.com/profile_banners/3532655353/1607139766,FALSE,FALSE,TRUE,,79,https://abs.twimg.com/images/themes/theme15/bg.png,FALSE
gehring__chris,Christian Gehring,135,428,555,279,Cloud expert. Excited to be a part of a team driving #innovations that make a difference? We are looking for great talents. Head of PreSales @GoogleCloud_DE,Germany,https://t.co/GBF8xuZmxS,11/6/2013 7:07,,Open Twitter Page for This Person,https://twitter.com/gehring__chris,https://pbs.twimg.com/profile_banners/1500609751/1584439023,FALSE,FALSE,FALSE,,6,https://abs.twimg.com/images/themes/theme15/bg.png,FALSE
bmind_es,BMIND,136,179,263,61,Somos una consultora que añade valor al negocio de nuestros clientes a través del uso de Data y Tecnología,"Madrid, Comunidad de Madrid",https://t.co/yxILNx6e4n,11/10/2015 20:15,,Open Twitter Page for This Person,https://twitter.com/bmind_es,https://pbs.twimg.com/profile_banners/3930677061/1518983689,TRUE,FALSE,TRUE,,6,https://abs.twimg.com/images/themes/theme1/bg.png,FALSE
1martaalvarez1,Marta Alvarez,230,244,1177,606,,Madrid,,12/4/2011 9:04,,Open Twitter Page for This Person,https://twitter.com/1martaalvarez1,https://pbs.twimg.com/profile_banners/280928003/1618213397,FALSE,FALSE,FALSE,,7,https://abs.twimg.com/images/themes/theme14/bg.gif,FALSE
bareivigneron,Séverine VIGNERON,170,105,1355,1168,,,,7/6/2010 11:37,,Open Twitter Page for This Person,https://twitter.com/bareivigneron,,TRUE,FALSE,TRUE,,0,https://abs.twimg.com/images/themes/theme1/bg.png,FALSE
paradigmate,Paradigma Digital,481,6018,10686,3436,#EsÉpocaDeHéroes - Tecnología con propósito para mejorar el mundo🌱🌍 Compañía certificada @BCorporation ➡️ https://t.co/TtklaMxcUT,Madrid (España),https://t.co/65s8xuBjf5,22/2/2010 18:49,,Open Twitter Page for This Person,https://twitter.com/paradigmate,https://pbs.twimg.com/profile_banners/116514367/1573823618,FALSE,FALSE,TRUE,,387,https://abs.twimg.com/images/themes/theme13/bg.gif,FALSE
leroymerlin_es,leroymerlin_es,340,118625,39707,2006,"Especialistas en bricolaje, construcción, jardinería y decoración. Durante estos días servicio de compra por teléfono, más información 👉 https://t.co/Md5OX8BhQP",España,https://t.co/qg0yJjruBy,2/2/2010 9:58,,Open Twitter Page for This Person,https://twitter.com/leroymerlin_es,https://pbs.twimg.com/profile_banners/110660952/1600679121,FALSE,FALSE,TRUE,,507,https://abs.twimg.com/images/themes/theme13/bg.gif,TRUE
pepetox,pepetox,212,90,1505,631,,,,27/5/2008 11:03,,Open Twitter Page for This Person,https://twitter.com/pepetox,https://pbs.twimg.com/profile_banners/14919446/1571319184,FALSE,FALSE,TRUE,,3,https://abs.twimg.com/images/themes/theme6/bg.gif,FALSE
alberto1719,Alberto1719,162,41,317,40,,Madrid,,19/9/2008 7:52,,Open Twitter Page for This Person,https://twitter.com/alberto1719,,TRUE,FALSE,TRUE,,0,https://abs.twimg.com/images/themes/theme1/bg.png,FALSE
googlecloud,Google Cloud,1248,297844,9383,6178,"Solve business challenges and make smarter decisions with powerful analytics and industry solutions. For do-ers and makers, follow @GoogleCloudTech.",,https://t.co/0X1XBXBTrC,22/1/2009 23:01,,Open Twitter Page for This Person,https://twitter.com/googlecloud,https://pbs.twimg.com/profile_banners/19367815/1600098696,FALSE,FALSE,FALSE,,6290,https://abs.twimg.com/images/themes/theme1/bg.png,TRUE
