date,Python,Machine Learning,Google Cloud,Deep Learning,SQL,isPartial
2020-05-17,94,8,7,3,57,False
2020-05-24,100,6,8,2,58,False
2020-05-31,84,6,8,1,59,False
2020-06-07,87,5,5,0,57,False
2020-06-14,93,7,7,2,59,False
2020-06-21,94,6,8,2,66,False
2020-06-28,89,7,9,2,56,False
2020-07-05,98,8,8,1,58,False
2020-07-12,93,5,10,2,58,False
2020-07-19,97,7,7,2,58,False
2020-07-26,93,7,7,0,55,False
2020-08-02,87,6,9,2,55,False
2020-08-09,99,7,7,2,60,False
2020-08-16,97,7,8,2,66,False
2020-08-23,96,4,6,2,57,False
2020-08-30,97,8,8,1,59,False
2020-09-06,97,6,8,2,51,False
2020-09-13,97,5,5,1,59,False
2020-09-20,95,3,7,2,60,False
2020-09-27,88,6,5,2,52,False
2020-10-04,94,5,6,1,57,False
2020-10-11,62,5,4,1,43,False
2020-10-18,70,7,4,1,44,False
2020-10-25,78,7,3,1,43,False
2020-11-01,61,5,4,1,42,False
2020-11-08,70,6,4,1,54,False
2020-11-15,74,6,5,0,40,False
2020-11-22,69,6,4,1,45,False
2020-11-29,66,3,4,1,44,False
2020-12-06,69,5,5,1,49,False
2020-12-13,68,5,4,1,39,False
2020-12-20,58,3,7,1,28,False
2020-12-27,47,3,4,0,31,False
2021-01-03,63,4,6,1,38,False
2021-01-10,66,5,3,1,45,False
2021-01-17,67,4,7,1,44,False
2021-01-24,67,3,4,1,46,False
2021-01-31,67,6,6,1,45,False
2021-02-07,70,4,5,1,44,False
2021-02-14,69,5,6,1,43,False
2021-02-21,72,5,3,1,42,False
2021-02-28,76,5,7,2,47,False
2021-03-07,71,3,6,1,47,False
2021-03-14,77,6,3,1,46,False
2021-03-21,78,6,4,1,54,False
2021-03-28,77,3,5,1,41,False
2021-04-04,87,3,7,1,51,False
2021-04-11,86,6,6,1,49,False
2021-04-18,90,5,6,1,48,False
2021-04-25,100,5,6,1,52,False
2021-05-02,76,6,5,2,51,False
2021-05-09,84,5,5,2,52,True
