date,Python,Machine Learning,Google Cloud,Deep Learning,SQL,isPartial
2020-05-17,90,3,5,1,50,False
2020-05-24,81,5,8,2,56,False
2020-05-31,85,5,9,2,49,False
2020-06-07,74,9,6,0,53,False
2020-06-14,85,7,6,1,51,False
2020-06-21,76,7,3,2,56,False
2020-06-28,67,5,6,1,54,False
2020-07-05,64,6,5,1,61,False
2020-07-12,76,5,6,1,64,False
2020-07-19,70,3,5,1,45,False
2020-07-26,65,4,5,2,53,False
2020-08-02,81,6,5,2,48,False
2020-08-09,85,6,7,4,53,False
2020-08-16,79,4,5,0,43,False
2020-08-23,89,8,6,2,55,False
2020-08-30,99,6,3,2,58,False
2020-09-06,84,8,3,2,66,False
2020-09-13,83,6,6,1,56,False
2020-09-20,97,7,5,1,64,False
2020-09-27,78,11,2,3,53,False
2020-10-04,100,5,4,2,69,False
2020-10-11,74,8,2,2,29,False
2020-10-18,64,4,3,1,42,False
2020-10-25,54,4,4,0,35,False
2020-11-01,51,2,1,1,31,False
2020-11-08,58,9,2,0,44,False
2020-11-15,58,7,4,1,33,False
2020-11-22,65,4,4,0,49,False
2020-11-29,53,6,1,0,42,False
2020-12-06,51,9,2,2,29,False
2020-12-13,51,7,1,2,38,False
2020-12-20,35,3,3,0,39,False
2020-12-27,33,2,4,0,21,False
2021-01-03,38,2,2,1,32,False
2021-01-10,50,6,2,0,32,False
2021-01-17,58,4,2,0,41,False
2021-01-24,62,5,2,1,41,False
2021-01-31,43,7,1,1,39,False
2021-02-07,56,2,5,0,46,False
2021-02-14,62,3,3,1,48,False
2021-02-21,59,5,5,1,43,False
2021-02-28,55,5,5,0,38,False
2021-03-07,72,7,2,2,44,False
2021-03-14,65,4,3,1,34,False
2021-03-21,57,2,2,0,42,False
2021-03-28,66,2,2,3,39,False
2021-04-04,66,5,3,1,37,False
2021-04-11,67,4,2,1,43,False
2021-04-18,69,5,3,2,46,False
2021-04-25,74,5,4,0,45,False
2021-05-02,77,4,1,1,44,False
2021-05-09,99,8,5,0,48,True
