date,Python,Machine Learning,Google Cloud,Deep Learning,SQL,isPartial
2020-05-17,85,3,11,1,84,False
2020-05-24,97,6,9,1,80,False
2020-05-31,83,5,9,1,79,False
2020-06-07,88,6,9,2,80,False
2020-06-14,73,4,8,3,89,False
2020-06-21,84,4,4,1,80,False
2020-06-28,64,3,9,1,89,False
2020-07-05,88,10,11,0,97,False
2020-07-12,83,7,9,4,88,False
2020-07-19,69,6,9,1,100,False
2020-07-26,76,5,8,0,86,False
2020-08-02,76,6,7,2,100,False
2020-08-09,88,6,12,0,99,False
2020-08-16,99,7,13,3,89,False
2020-08-23,89,4,12,1,78,False
2020-08-30,93,8,8,1,89,False
2020-09-06,91,6,6,3,81,False
2020-09-13,84,6,5,1,62,False
2020-09-20,88,5,6,3,75,False
2020-09-27,97,4,6,1,69,False
2020-10-04,81,3,9,1,69,False
2020-10-11,66,4,2,1,67,False
2020-10-18,69,6,7,2,67,False
2020-10-25,53,4,5,1,65,False
2020-11-01,68,1,5,0,58,False
2020-11-08,74,5,4,3,70,False
2020-11-15,69,4,5,1,62,False
2020-11-22,75,8,4,1,72,False
2020-11-29,68,5,3,0,64,False
2020-12-06,64,4,7,2,80,False
2020-12-13,50,3,2,1,71,False
2020-12-20,44,1,7,1,37,False
2020-12-27,49,3,2,1,47,False
2021-01-03,60,4,3,1,55,False
2021-01-10,61,4,2,1,68,False
2021-01-17,59,6,4,1,66,False
2021-01-24,62,4,5,2,56,False
2021-01-31,72,2,2,1,70,False
2021-02-07,68,3,2,1,65,False
2021-02-14,55,4,5,0,68,False
2021-02-21,60,4,6,2,78,False
2021-02-28,67,3,4,1,69,False
2021-03-07,71,4,4,2,81,False
2021-03-14,74,9,3,4,64,False
2021-03-21,59,4,4,1,76,False
2021-03-28,62,4,3,1,66,False
2021-04-04,75,9,1,1,67,False
2021-04-11,66,3,7,0,74,False
2021-04-18,81,5,6,0,77,False
2021-04-25,62,3,4,1,87,False
2021-05-02,60,8,3,1,84,False
2021-05-09,63,3,9,0,70,True
