Vertex 1,Relationship,Tweet,URLs in Tweet,Domains in Tweet,Hashtags in Tweet,Date,Time,Twitter Page for Tweet,Latitude,Longitude,Favorite Count,Language
bexxmodd,Retweet,"A new #GoogleCloud data analytics tool is in the pipeline to be applicable across sectors soon.
 https://t.co/gxrEs1KbiR",https://www.crn.com/news/cloud/a-new-google-cloud-data-analytics-tool-is-coming-soon?utm_content=165962524&utm_medium=social&utm_source=twitter&hss_channel=tw-1500609751,crn.com,googlecloud,10/5/2021,10:02:09,https://twitter.com/bexxmodd/status/1391695045611360256,,,0,en
bmind_es,Tweet,"🗓️El próximo 12 de mayo nos vemos en #GoogleCloudHexagon. ¡ No te pierdas el breakout de Telco&amp;Media donde explicaremos Cómo aplicar la Inteligencia Artificial a tu Contenido Audiovisual!
 
 Los detalles del Evento aquí: https://t.co/g6ypc1rcXu
 #GoogleCloud #GCP #IA",https://googlecloudhexagon.com/registro.html?%E2%80%A6,googlecloudhexagon.com,googlecloudhexagon googlecloud gcp ia,10/5/2021,9:33:41,https://twitter.com/bmind_es/status/1391687877696839680,,,0,es
1martaalvarez1,Retweet,"🗓️El próximo 12 de mayo nos vemos en #GoogleCloudHexagon. ¡ No te pierdas el breakout de Telco&amp;Media donde explicaremos Cómo aplicar la Inteligencia Artificial a tu Contenido Audiovisual!
 
 Los detalles del Evento aquí: https://t.co/g6ypc1rcXu
 #GoogleCloud #GCP #IA",https://googlecloudhexagon.com/registro.html?%E2%80%A6,googlecloudhexagon.com,googlecloudhexagon googlecloud gcp ia,10/5/2021,10:54:45,https://twitter.com/1martaalvarez1/status/1391708280255287296,,,0,es
bareivigneron,Tweet,"Avec des offres étendues sur #GoogleCloud, les clients Teradata peuvent facilement utiliser les services qu'ils préfèrent dans un modèle de tarification à la consommation.
 #Teradata #Vantage #Cloud https://t.co/0NFDmKa2Nm",https://www.teradata.fr/Press-Releases/2021/Teradata-Expands-Offerings-on-Google-Cloud?es_id=ac0e8069cc,teradata.fr,googlecloud teradata vantage cloud,10/5/2021,19:33:29,https://twitter.com/bareivigneron/status/1391838825631076358,,,1,fr
paradigmate,Mentions,"🎧 La filosofía #DevOps triunfa en muchas empresas, pero pocas saben sacar el máximo provecho a la nube. En el #podcast de hoy vemos el potencial de #GoogleCloud junto a @leroymerlin_es. ¡No te lo pierdas!",,,devops podcast googlecloud,10/5/2021,15:54:00,https://twitter.com/paradigmate/status/1391783588480290816,,,4,es
pepetox,MentionsInRetweet,"🎧 La filosofía #DevOps triunfa en muchas empresas, pero pocas saben sacar el máximo provecho a la nube. En el #podcast de hoy vemos el potencial de #GoogleCloud junto a @leroymerlin_es. ¡No te lo pierdas!",,,devops podcast googlecloud,10/5/2021,20:04:11,https://twitter.com/pepetox/status/1391846551262269441,,,0,es
pepetox,Retweet,"🎧 La filosofía #DevOps triunfa en muchas empresas, pero pocas saben sacar el máximo provecho a la nube. En el #podcast de hoy vemos el potencial de #GoogleCloud junto a @leroymerlin_es. ¡No te lo pierdas!",,,devops podcast googlecloud,10/5/2021,20:04:11,https://twitter.com/pepetox/status/1391846551262269441,,,0,es
alberto1719,MentionsInRetweet,¿Estás preparado para la nueva era del trabajo? @GoogleCloud estrena una conferencia digital donde podemos ver todo lo que Workspace puede hacer para ayudar a aumentar la productividad y mantener tus equipos perfectamente conectados. Regístrate aqui 👉 https://t.co/uDv6rnOdZm https://t.co/W5l5KLdcts,https://cloudonair.withgoogle.com/events/nueva-era-trabajo-digital-google-workspace?utm_source=nubalia&utm_medium=partner&utm_campaign=FY21-Q2-emea-SMB976-onlineevent-er-SMBGWSSpanish&utm_content=invite_nubalia,withgoogle.com,,11/5/2021,7:45:02,https://twitter.com/alberto1719/status/1392022925646118915,,,0,es
alberto1719,Retweet,¿Estás preparado para la nueva era del trabajo? @GoogleCloud estrena una conferencia digital donde podemos ver todo lo que Workspace puede hacer para ayudar a aumentar la productividad y mantener tus equipos perfectamente conectados. Regístrate aqui 👉 https://t.co/uDv6rnOdZm https://t.co/W5l5KLdcts,https://cloudonair.withgoogle.com/events/nueva-era-trabajo-digital-google-workspace?utm_source=nubalia&utm_medium=partner&utm_campaign=FY21-Q2-emea-SMB976-onlineevent-er-SMBGWSSpanish&utm_content=invite_nubalia,withgoogle.com,,11/5/2021,7:45:02,https://twitter.com/alberto1719/status/1392022925646118915,,,0,es
guidomassfeller,Tweet,"Für große Herausforderungen braucht es innovative Lösungen! Während der Pandemie hat #GoogleCloud Digitalisierungsprozesse in der öffentlichen Verwaltung extrem beschleunigt.
 https://t.co/n6B53G3hCU",https://www.youtube.com/watch?v=HkXBR_eBduI&utm_content=164180588&utm_medium=social&utm_source=twitter&hss_channel=tw-867024285734514688,youtube.com,googlecloud,11/5/2021,8:04:05,https://twitter.com/guidomassfeller/status/1392027717063880706,,,0,de
alphonsenafack,Tweet,"3/3
 Autour de la gestion de données, du développement d’applications, des infrastructures cloud, du Machine Learning et de l’Intelligence Artificielle. Avec à la clé la certification au grade d’Associate Cloud Engineer de Google. 
 
 #Googlecloud #education #alphonsenafack #school",,,googlecloud education alphonsenafack school,11/5/2021,11:14:04,https://twitter.com/alphonsenafack/status/1392075531173122049,,,1,fr
inetum_ci,MentionsInRetweet,"Nous sommes heureux d’annoncer le renforcement de notre partenariat avec @googlecloud, afin d’accélérer la #digitalisation de nos clients grâce à la maîtrise du flow digital et de nos expertises sur le #cloud.
 📍 Communiqué : https://t.co/dPTi3pIWXt
 #Positivedigitalflow #presse https://t.co/rwhSJLDikg",https://gfi.world/fr-fr/presse/communique/442-inetum-accelere-son-partenariat-avec-google-et-renforce-sa-position-sur-le-marche-du-cloud,gfi.world,digitalisation cloud positivedigitalflow presse,11/5/2021,11:30:52,https://twitter.com/inetum_ci/status/1392079755911081990,,,0,fr
inetum_ci,Retweet,"Nous sommes heureux d’annoncer le renforcement de notre partenariat avec @googlecloud, afin d’accélérer la #digitalisation de nos clients grâce à la maîtrise du flow digital et de nos expertises sur le #cloud.
 📍 Communiqué : https://t.co/dPTi3pIWXt
 #Positivedigitalflow #presse https://t.co/rwhSJLDikg",https://gfi.world/fr-fr/presse/communique/442-inetum-accelere-son-partenariat-avec-google-et-renforce-sa-position-sur-le-marche-du-cloud,gfi.world,digitalisation cloud positivedigitalflow presse,11/5/2021,11:30:52,https://twitter.com/inetum_ci/status/1392079755911081990,,,0,fr
ladenouille,MentionsInRetweet,"Nous sommes heureux d’annoncer le renforcement de notre partenariat avec @googlecloud, afin d’accélérer la #digitalisation de nos clients grâce à la maîtrise du flow digital et de nos expertises sur le #cloud.
 📍 Communiqué : https://t.co/dPTi3pIWXt
 #Positivedigitalflow #presse https://t.co/rwhSJLDikg",https://gfi.world/fr-fr/presse/communique/442-inetum-accelere-son-partenariat-avec-google-et-renforce-sa-position-sur-le-marche-du-cloud,gfi.world,digitalisation cloud positivedigitalflow presse,11/5/2021,12:09:37,https://twitter.com/ladenouille/status/1392089510893301762,,,0,fr
ladenouille,Retweet,"Nous sommes heureux d’annoncer le renforcement de notre partenariat avec @googlecloud, afin d’accélérer la #digitalisation de nos clients grâce à la maîtrise du flow digital et de nos expertises sur le #cloud.
 📍 Communiqué : https://t.co/dPTi3pIWXt
 #Positivedigitalflow #presse https://t.co/rwhSJLDikg",https://gfi.world/fr-fr/presse/communique/442-inetum-accelere-son-partenariat-avec-google-et-renforce-sa-position-sur-le-marche-du-cloud,gfi.world,digitalisation cloud positivedigitalflow presse,11/5/2021,12:09:37,https://twitter.com/ladenouille/status/1392089510893301762,,,0,fr
jessica12000m,MentionsInRetweet,"📅 ¿Ya has visto la programación de #DevOps_Spain para hoy?
 
 Contamos con la participación de @gitlab @GoogleCloud_ES @HashiCorp @splunk y @sonatype para nuestras ponencias y workshops.
 
 ¡Aquí te dejamos el calendario! 👇
 
 #DevOps #IaC #Cloud #Innovation https://t.co/fxXgisJQBA",,,devops_spain devops iac cloud innovation,11/5/2021,12:41:45,https://twitter.com/jessica12000m/status/1392097597431631875,,,0,es
jessica12000m,MentionsInRetweet,"📅 ¿Ya has visto la programación de #DevOps_Spain para hoy?
 
 Contamos con la participación de @gitlab @GoogleCloud_ES @HashiCorp @splunk y @sonatype para nuestras ponencias y workshops.
 
 ¡Aquí te dejamos el calendario! 👇
 
 #DevOps #IaC #Cloud #Innovation https://t.co/fxXgisJQBA",,,devops_spain devops iac cloud innovation,11/5/2021,12:41:45,https://twitter.com/jessica12000m/status/1392097597431631875,,,0,es
jessica12000m,MentionsInRetweet,"📅 ¿Ya has visto la programación de #DevOps_Spain para hoy?
 
 Contamos con la participación de @gitlab @GoogleCloud_ES @HashiCorp @splunk y @sonatype para nuestras ponencias y workshops.
 
 ¡Aquí te dejamos el calendario! 👇
 
 #DevOps #IaC #Cloud #Innovation https://t.co/fxXgisJQBA",,,devops_spain devops iac cloud innovation,11/5/2021,12:41:45,https://twitter.com/jessica12000m/status/1392097597431631875,,,0,es
